Date,Task,Duration (hrs)
2025-06-01,Meditate,2.0
2025-06-01,Read,1.3
2025-06-02,Study,2.3
2025-06-02,Code,1.9
2025-06-02,Read,1.0
2025-06-02,Exercise,2.1
2025-06-03,Meditate,0.9
2025-06-03,Code,1.4
2025-06-03,Meditate,0.6
2025-06-04,Code,1.9
2025-06-04,Meditate,1.4
2025-06-04,Meditate,1.3
2025-06-05,Meditate,1.1
2025-06-05,Meditate,0.8
2025-06-05,Exercise,1.3
2025-06-05,Exercise,1.0
2025-06-06,Study,0.8
2025-06-06,Meditate,1.1
2025-06-06,Code,1.4
2025-06-07,Study,2.4
2025-06-07,Code,0.8
2025-06-07,Study,0.6
2025-06-08,Code,1.0
2025-06-08,Code,1.5
2025-06-08,Read,0.8
2025-06-08,Study,2.3
2025-06-09,Study,0.6
2025-06-09,Meditate,2.5
2025-06-10,Meditate,1.3
2025-06-10,Read,1.2
2025-06-11,Study,1.0
2025-06-11,Read,1.6
2025-06-12,Read,1.6
2025-06-12,Read,1.7
2025-06-12,Exercise,0.8
2025-06-12,Study,2.2
2025-06-13,Meditate,1.1
2025-06-13,Study,0.7
2025-06-14,Meditate,2.4
2025-06-14,Exercise,0.7
2025-06-14,Study,0.6
